"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000105290.13",-51251.2138888889,3867.69662921348,-36.288079679843,1.9294297762119e-83,1.06695537194742e-78,178.113928797463
"ENSG00000108309.14",-9736.75833333333,705.089887640449,-35.9516451798854,8.14852470116089e-83,2.25302633724748e-78,176.728692164933
"ENSG00000145920.15",-34189.6416666667,2628.34269662921,-34.5046917275142,4.50432549257536e-80,8.30282318046416e-76,170.645406243079
"ENSG00000077080.10",-2211.39722222222,148.775280898876,-33.7782793929126,1.15615645244268e-78,1.5983573915907e-74,167.512493333421
"ENSG00000198003.12",-579.863888888889,62.8314606741573,-30.0864467852199,3.84180253423548e-71,4.24895676681376e-67,150.723018435586
"ENSG00000159409.15",-11086.5527777778,906.303370786517,-29.3591854900491,1.38286740279113e-69,1.27451974178244e-65,147.235766602652
"ENSG00000258986.7",-12290.8277777778,779.977528089888,-28.7088219770636,3.58364860397685e-68,2.83103120216166e-64,144.064659263899
"ENSG00000135097.7",-2945.3,299.421348314607,-27.7948349850372,3.77098721488186e-66,2.6066477749469e-62,139.52254867365
"ENSG00000224046.2",-167.322222222222,29.2247191011236,-27.0585009284947,1.72348304208153e-64,1.05896543048963e-60,135.789164916027
"ENSG00000132563.16",-5667.66111111111,556.14606741573,-26.0776549599507,3.09921266670769e-62,1.71383361256268e-58,130.711269927659
"ENSG00000067840.12",-4990.60277777778,596.977528089888,-25.4681561646672,8.27877285317991e-61,4.16188963643633e-57,127.494623605713
"ENSG00000165548.11",-10721.6916666667,760.61797752809,-25.1551794257962,4.5528495302963e-60,2.09806688479879e-56,125.824437690626
"ENSG00000105613.10",-1360.59722222222,141.606741573034,-25.0308704942279,8.99048139966755e-60,3.82434331477089e-56,125.157577749465
"ENSG00000257698.2",-1130.63888888889,197.011235955056,-24.9881673455697,1.1362819373953e-59,4.48823248971589e-56,124.928036027566
"ENSG00000229770.2",-38.5916666666667,2.75280898876404,-24.378143971836,3.30434487970307e-58,1.21817978335133e-54,121.62326911696
"ENSG00000108641.19",-2332.39444444444,576,-24.1525786689935,1.1624652877679e-57,4.01769799676731e-54,120.38906819015
"ENSG00000120645.12",-4496.91666666667,431.308988764045,-23.7668928583062,1.01364327385746e-56,3.29726231770846e-53,118.263415749226
"ENSG00000102003.11",-16992.1638888889,1295.18539325843,-23.525709944046,3.96406729496728e-56,1.2178275408022e-52,116.924313090321
"ENSG00000277200.1",-1373.10277777778,144.651685393258,-23.4435868324553,6.31728639922479e-56,1.83862958205648e-52,116.466613263629
"ENSG00000260903.3",-1653.06944444444,146.561797752809,-23.1520158210806,3.32719477382504e-55,9.19952718988754e-52,114.834469286097
"ENSG00000178796.13",-477.511111111111,49.8932584269663,-22.7437752674859,3.46872867109027e-54,9.13415365631528e-51,112.530556243592
"ENSG00000141665.13",-262.402777777778,43.5337078651685,-22.6640521123202,5.4960922950178e-54,1.38149276282813e-50,112.078092921767
"ENSG00000176490.5",-2284.81111111111,275.303370786517,-22.4386559805018,2.02794582063754e-53,4.87579895371457e-50,110.794376258888
"ENSG00000058404.20",-8103.11111111111,676.174157303371,-22.3375950346624,3.64911018446736e-53,8.40800600378586e-50,110.216639687168
"ENSG00000178467.18",-9733.16666666666,2824.05617977528,-22.1974948153407,8.25653824126558e-53,1.82631323281498e-49,109.413520274275
"ENSG00000133027.18",-6515.89444444444,696.550561797753,-22.1033892449631,1.43084918084243e-52,3.04325110966945e-49,108.872625110363
"ENSG00000049769.14",-1437.8,278.544943820225,-22.083681963492,1.60569496542684e-52,3.28864169974588e-49,108.759206311722
"ENSG00000177380.14",-3412.33055555555,651.876404494382,-22.0320993343387,2.17178419754997e-52,4.28919622643985e-49,108.462099639316
"ENSG00000277692.1",-92.3805555555556,19,-21.9714822177256,3.09832649560636e-52,5.90808127174263e-49,108.112512665191
"ENSG00000196132.14",-2274.23333333333,162.921348314607,-21.8774911881691,5.38013557618072e-52,9.91720390757391e-49,107.569507333331
"ENSG00000181045.15",-2975.85277777778,750.241573033708,-21.6926270990871,1.598017462132e-51,2.85060540769154e-48,106.498155648602
"ENSG00000249695.6",-377.1,28.1460674157303,-21.6456506643633,2.10872633157843e-51,3.64407679406112e-48,106.225203065294
"ENSG00000261411.1",-76.1416666666667,7.02247191011236,-21.4772208937804,5.71254757492942e-51,9.57267176806127e-48,105.244202132978
"ENSG00000133169.6",-13539.6805555556,1306.05056179775,-21.3564104536087,1.17010015902884e-50,1.90309907923929e-47,104.538291037102
"ENSG00000204052.4",-505.388888888889,98.0337078651685,-21.3471449967801,1.23633964607517e-50,1.95338131680888e-47,104.484073804429
"ENSG00000184905.9",-4509.09166666667,401.544943820225,-21.2588250309246,2.09088988922979e-50,3.21178111068106e-47,103.966708700842
"ENSG00000181031.16",-5511.55277777778,1217.00561797753,-21.2321675667726,2.4506959054703e-50,3.66273061828654e-47,103.810355370388
"ENSG00000036530.9",-988.347222222222,93.1516853932584,-21.0886574044966,5.77013838133009e-50,8.39691795655718e-47,102.967054500749
"ENSG00000122735.16",-781.344444444444,61.4157303370786,-21.0047634866311,9.53030986326684e-50,1.35132462853537e-46,102.472845259064
"ENSG00000249684.6",-959.044444444444,110.073033707865,-20.8829389662091,1.97802151514412e-49,2.73456529414886e-46,101.753581843241
"ENSG00000259840.1",-101.6,12.7808988764045,-20.8713061023624,2.1210678196895e-49,2.86080315514658e-46,101.684800775707
"ENSG00000139910.20",-1786.85,254.533707865169,-20.8261875250252,2.78121523180512e-49,3.61073332815956e-46,101.417866395127
"ENSG00000112530.11",-925.980555555556,134.061797752809,-20.8246117432211,2.80767343190403e-49,3.61073332815956e-46,101.408538910598
"ENSG00000234409.7",-410.488888888889,52.9157303370786,-20.7528659362089,4.32223211583531e-49,5.43216167667221e-46,100.983519409393
"ENSG00000129535.13",-213.111111111111,83.123595505618,-20.6045087126796,1.05684825600467e-48,1.29872559352894e-45,100.102572328158
"ENSG00000235314.1",-619.877777777778,144.668539325843,-20.5975785640613,1.10199629230473e-48,1.32476723843825e-45,100.061352454083
